,node_id,parent_id,level,customers,top_words
23,14,3.0,2,46,"['/soccer/football_team/current_roster./sports/sports_team_roster/position', ' /soccer/football_team/current_roster./soccer/football_roster_position/position', ' /m/02_j1w', ' /m/0dgrmp', ' /m/02sdk9v']"
24,17,3.0,2,137,"['/government/politician/government_positions_held./government/government_position_held/legislative_sessions', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /government/politician/government_positions_held./government/government_position_held/basic_title', ' /government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office', ' /people/person/religion']"
25,27,3.0,2,327,"['/film/director/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /m/02jknp', ' /people/person/profession']"
26,34,3.0,2,18,"['/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office', ' /government/legislative_session/members./government/government_position_held/district_represented', ' /government/legislative_session/members./government/government_position_held/legislative_sessions', ' /m/01n7q', ' /m/0vmt']"
27,38,3.0,2,4,"['/m/01wg982', ' /m/0hkb8', ' /m/02x8kk', ' /m/0cskb', ' /m/0r7fy']"
28,42,3.0,2,3,"['/m/0f2r6', ' /m/01kyvx', ' /m/0k4d7', ' /m/0kb57', ' /m/02j7k']"
29,55,3.0,2,7,"['/music/performance_role/regular_performances./music/group_membership/group', ' /music/performance_role/regular_performances./music/group_membership/role', ' /music/performance_role/track_performances./music/track_contribution/role', ' /music/performance_role/guest_performances./music/recording_contribution/performance_role', ' /music/instrument/instrumentalists']"
30,64,3.0,2,10,"['/m/026sdt1', ' /m/0gs96', ' /m/02cqbx', ' /m/033rq', ' /m/0gl88b']"
31,68,3.0,2,8,"['/m/0nbrp', ' /m/082scv', ' /m/03ncb2', ' /m/012vct', ' /m/033hqf']"
32,74,3.0,2,2,"['/m/0jn5l', ' /m/013q07', ' /m/0k_p5', ' /m/0g9yrw', ' /m/02bj22']"
33,97,3.0,2,2,"['/m/0ctw_b', ' /m/02jknp', ' /m/02jkkv', ' /m/02jjt', ' /m/02jhc']"
34,107,3.0,2,2,"['/m/0947l', ' /m/0kvgtf', ' /m/07tj4c', ' /m/0mbs8', ' /m/01hmb_']"
35,5,0.0,1,831,"['/common/topic/webpage./common/webpage/category', ' /m/08mbj5d', ' /people/person/profession', ' /m/09c7w0', ' /award/award_winner/awards_won./award/award_honor/award_winner']"
36,6,5.0,2,83,"['/sports/sports_team/roster./american_football/football_historical_roster_position/position_s', ' /american_football/football_team/current_roster./sports/sports_team_roster/position', ' /sports/sports_team/roster./american_football/football_roster_position/position', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee']"
37,12,5.0,2,332,"['/influence/influence_node/influenced_by', ' /people/person/religion', ' /m/0cbd2', ' /people/person/profession', ' /people/deceased_person/place_of_death']"
38,20,5.0,2,218,"['/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location', ' /business/business_operation/industry', ' /tv/tv_network/programs./tv/tv_network_duration/program', ' /m/09nqf', ' /organization/organization/headquarters./location/mailing_address/citytown']"
39,28,5.0,2,2,"['/m/03lrc', ' /m/04n_g', ' /m/01yzhn', ' /m/05q8pss', ' /m/01tt43d']"
40,29,5.0,2,5,"['/m/01ttg5', ' /m/04r7jc', ' /m/01vhb0', ' /m/05fgr_', ' /m/0c_drn']"
41,35,5.0,2,132,"['/music/record_label/artist', ' /organization/organization/child./organization/organization_relationship/child', ' /organization/organization/headquarters./location/mailing_address/citytown', ' /business/business_operation/industry', ' /organization/organization/headquarters./location/mailing_address/state_province_region']"
42,56,5.0,2,7,"['/m/0jdr0', ' /m/02q_x_l', ' /m/0h1v19', ' /m/0flw86', ' /m/01d6jf']"
43,57,5.0,2,4,"['/m/050r1z', ' /m/08zrbl', ' /m/0mzvm', ' /m/0kvgnq', ' /m/0lpjn']"
44,58,5.0,2,10,"['/m/01w7nww', ' /m/01w7nwm', ' /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity', ' /m/0162c8', ' /m/0947l']"
45,84,5.0,2,5,"['/m/01mgw', ' /m/0mndw', ' /m/01v1ln', ' /m/099tbz', ' /m/09v1lrz']"
46,86,5.0,2,9,"['/m/02hhtj', ' /m/06y9c2', ' /m/036dyy', ' /m/019n7x', ' /m/0ply0']"
47,101,5.0,2,5,"['/m/05sy0cv', ' /m/08xz51', ' /m/02x4wb', ' /m/02krf9', ' /m/01c58j']"
48,114,5.0,2,9,"['/m/03h_fk5', ' /m/06m61', ' /m/01b8jj', ' /m/018ndc', ' /m/06mj4']"
49,115,5.0,2,6,"['/m/0fn2g', ' /m/05z7c', ' /m/07mfk', ' /m/07s467s', ' /m/04sskp']"
50,117,5.0,2,2,"['/m/03wpmd', ' /m/052_mn', ' /m/09bkv', ' /m/02jkkv', ' /m/02jjt']"
51,118,5.0,2,2,"['/m/0gfzgl', ' /m/0c1d0', ' /m/01817f', ' /m/02py9yf', ' /m/0d0vqn']"
52,15,0.0,1,179,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_winner/awards_won./award/award_honor/award_winner']"
53,16,15.0,2,100,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award']"
54,18,15.0,2,3,"['/m/064ndc', ' /m/014v6f', ' /m/0vp5f', ' /m/0bdwft', ' /m/0cqgl9']"
55,21,15.0,2,14,"['/influence/influence_node/influenced_by', ' /m/01t9qj_', ' /m/013tjc', ' /m/03cfjg', ' /m/01ccr8']"
56,51,15.0,2,6,"['/m/02xhwm', ' /m/054c1', ' /m/0bdw6t', ' /m/0bdwft', ' /m/01vsykc']"
57,60,15.0,2,8,"['/m/013n0n', ' /m/06qv_', ' /m/01rlxt', ' /m/015g_7', ' /m/06r4f']"
58,76,15.0,2,9,"['/film/special_film_performance_type/film_performance_type./film/performance/film', ' /m/01_yvy', ' /m/0drdv', ' /m/09h4b5', ' /m/025s1wg']"
59,82,15.0,2,5,"['/m/0h6l4', ' /m/0fl2s', ' /m/02hgm4', ' /music/artist/track_contributions./music/track_contribution/role', ' /m/012vd6']"
60,87,15.0,2,7,"['/m/04vvh9', ' /m/056_y', ' /m/0n04r', ' /m/0fr0t', ' /m/0cks1m']"
61,89,15.0,2,6,"['/m/0cj2w', ' /m/02qfhb', ' /m/0d9jr', ' /m/02k1pr', ' /m/01qz5']"
62,99,15.0,2,8,"['/m/06bnz', ' /m/022q4j', ' /m/0bkmf', ' /m/0f2w0', ' /m/05ypj5']"
63,104,15.0,2,3,"['/m/028hc2', ' /m/03cfjg', ' /m/0vzm', ' /m/024pcx', ' /m/0g0vx']"
64,110,15.0,2,1,"['/m/02qrwjt', ' /m/02pjxr', ' /m/02ynfr', ' /m/02jm0n', ' /m/02jknp']"
65,112,15.0,2,6,"['/m/026_dq6', ' /m/05ft32', ' /m/0391jz', ' /m/0r2gj', ' /m/02w9sd7']"
66,119,15.0,2,3,"['/american_football/football_team/current_roster./sports/sports_team_roster/position', ' /user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy', ' /education/field_of_study/students_majoring./education/education/major_field_of_study', ' /education/educational_institution_campus/educational_institution', ' /education/educational_institution/students_graduates./education/education/student']"
67,25,0.0,1,205,"['/film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_nominee/award_nominations./award/award_nomination/award', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner']"
68,26,25.0,2,10,"['/base/americancomedy/celebrity_impressionist/celebrities_impersonated', ' /m/09b6zr', ' /education/educational_institution/students_graduates./education/education/student', ' /m/0157m', ' /m/08mbj5d']"
69,30,25.0,2,94,"['/award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /film/actor/film./film/performance/film', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_nominee/award_nominations./award/award_nomination/award']"
70,33,25.0,2,42,"['/education/educational_institution/students_graduates./education/education/student', ' /education/educational_institution/students_graduates./education/education/major_field_of_study', ' /education/educational_institution/school_type', ' /education/educational_institution/campuses', ' /organization/organization/headquarters./location/mailing_address/citytown']"
71,39,25.0,2,10,"['/m/01_1pv', ' /m/0bdw1g', ' /m/0fy66', ' /m/0170xl', ' /m/08b8vd']"
72,62,25.0,2,7,"['/m/0b28g', ' /m/06dr9', ' /m/048cl', ' /m/09b8m', ' /m/03_r3']"
73,63,25.0,2,5,"['/m/033jkj', ' /m/02dtg', ' /m/01mxqyk', ' /m/02flpq', ' /m/0gqxm']"
74,66,25.0,2,5,"['/m/03ccq3s', ' /m/0ckt6', ' /m/01b30l', ' /m/0g0rp', ' /tv/tv_program/country_of_origin']"
75,78,25.0,2,5,"['/m/0bdt8', ' /m/019pm_', ' /m/06rmdr', ' /m/04k9y6', ' /m/02p_ycc']"
76,85,25.0,2,2,"['/american_football/football_team/current_roster./sports/sports_team_roster/position', ' /user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy', ' /education/field_of_study/students_majoring./education/education/major_field_of_study', ' /education/educational_institution_campus/educational_institution', ' /education/educational_institution/students_graduates./education/education/student']"
77,90,25.0,2,5,"['/m/0k6yt1', ' /m/0k9p4', ' /m/0gwgn1k', ' /m/049xgc', ' /m/0r2dp']"
78,92,25.0,2,6,"['/m/0k_q_', ' /m/0fb1q', ' /m/0ckr7s', ' /m/01kyvx', ' /m/0ds2l81']"
79,98,25.0,2,5,"['/m/0k39j', ' /m/02_fm2', ' /m/07y0n', ' /m/0htp', ' /m/07wj1']"
80,108,25.0,2,9,"['/m/06c62', ' /m/0ftlx', ' /m/02x8mt', ' /m/0kpl', ' /m/0dgd_']"
81,36,0.0,1,101,"['/award/award_winner/awards_won./award/award_honor/award_winner', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /m/08mbj5d', ' /award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /common/topic/webpage./common/webpage/category']"
82,37,36.0,2,13,"['/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school', ' /sports/sports_team/roster./baseball/baseball_roster_position/position', ' /baseball/baseball_team/team_stats./baseball/baseball_team_stats/season', ' /sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft', ' /sports/sports_team/colors']"
83,41,36.0,2,3,"['/m/0ddd0gc', ' /m/015pnb', ' /m/05bnx3j', ' /m/02xcb6n', ' /m/03s0w']"
84,50,36.0,2,3,"['/m/02wgbb', ' /m/01r216', ' /m/049qx', ' /m/05b4l5x', ' /m/0n2g']"
85,53,36.0,2,10,"['/music/genre/artists', ' /m/02p_ycc', ' /m/0c_m3', ' /music/genre/parent_genre', ' /m/0wqwj']"
86,59,36.0,2,10,"['/organization/role/leaders./organization/leadership/organization', ' /business/job_title/people_with_this_title./business/employment_tenure/company', ' /m/02nvg1', ' /m/01n951', ' /m/018sg9']"
87,61,36.0,2,6,"['/m/05r4w', ' /m/02q9kqf', ' /m/05mwx', ' /m/013m43', ' /m/04zyhx']"
88,65,36.0,2,8,"['/m/01ztgm', ' /m/0c1xm', ' /m/04f9r2', ' /m/0gffmn8', ' /m/01kyvx']"
89,71,36.0,2,8,"['/m/03f4w4', ' /m/06y611', ' /m/0jk_8', ' /m/0h7x', ' /m/0wq36']"
90,81,36.0,2,8,"['/people/deceased_person/place_of_burial', ' /organization/organization_founder/organizations_founded', ' /m/0chgsm', ' /m/0bqyhk', ' /m/018wng']"
91,88,36.0,2,7,"['/m/07l5z', ' /m/0lk90', ' /m/0h95927', ' /m/012d40', ' /m/0125xq']"
92,91,36.0,2,6,"['/award/award_winning_work/awards_won./award/award_honor/award', ' /award/award_winning_work/awards_won./award/award_honor/award_winner', ' /film/film/other_crew./film/film_crew_gig/film_crew_role', ' /film/film/genre', ' /film/film/featured_film_locations']"
93,94,36.0,2,7,"['/m/096gm', ' /m/0cq7tx', ' /m/01k5y0', ' /m/034xyf', ' /m/01vvyfh']"
94,95,36.0,2,3,"['/m/01rxyb', ' /m/019mlh', ' /m/0lgw7', ' /m/01cbt3', ' /m/02jm9c']"
95,105,36.0,2,4,"['/m/04ld94', ' /m/02qrbbx', ' /m/03rk0', ' /m/0hskw', ' /m/04vmp']"
96,109,36.0,2,4,"['/m/0chrx', ' /m/06rrzn', ' /m/02frhbc', ' /m/07_grx', ' /m/01pbwwl']"
97,113,36.0,2,1,"['/american_football/football_team/current_roster./sports/sports_team_roster/position', ' /user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy', ' /education/field_of_study/students_majoring./education/education/major_field_of_study', ' /education/educational_institution_campus/educational_institution', ' /education/educational_institution/students_graduates./education/education/student']"
98,48,0.0,1,49,"['/award/award_nominee/award_nominations./award/award_nomination/nominated_for', ' /award/award_winner/awards_won./award/award_honor/award_winner', ' /award/award_nominee/award_nominations./award/award_nomination/award_nominee', ' /m/02hrh1q', ' /common/topic/webpage./common/webpage/category']"
99,49,48.0,2,12,"['/m/056jm_', ' /m/01vvycq', ' /m/0cq806', ' /m/026hxwx', ' /m/02ntb8']"
100,73,48.0,2,8,"['/m/0s2z0', ' /m/02lfcm', ' /m/01c0h6', ' /m/01hpnh', ' /m/0bdx29']"
101,75,48.0,2,4,"['/m/034qrh', ' /m/01wyy_', ' /m/09b6zr', ' /m/02x4wb', ' /m/0fb1q']"
102,77,48.0,2,8,"['/m/05q9g1', ' /m/0fp5z', ' /m/0c8tk', ' /m/0k5px', ' /m/01vwbts']"
103,83,48.0,2,6,"['/m/0fhp9', ' /m/06fc0b', ' /m/0glnm', ' /m/0cq7kw', ' /film/actor/film./film/performance/film']"
104,100,48.0,2,4,"['/m/05tbn', ' /m/01m4pc', ' /m/0170z3', ' /m/07bcn', ' /m/02jm0n']"
105,111,48.0,2,7,"['/m/026lgs', ' /m/051ysmf', ' /m/047sgz4', ' /m/02tj96', ' /m/02gdjb']"
